site_no,name,elev_ft,area,basin,lat,long,rfc
9358550,"CEMENT CREEK AT SILVERTON, CO",9380,20.1,sanjuan,"37d49'11""","107d39'47""",
9359010,"MINERAL CREEK AT SILVERTON, CO",9246,52.3,sanjuan,"37d48'10""","107d40'20""",
9358000,"ANIMAS RIVER AT SILVERTON, CO",9290,70.6,sanjuan,"37d48'40""","107d39'31""",
9359020,"ANIMAS RIVER BELOW SILVERTON, CO",9199,146,sanjuan,"37d47'18""","107d40'06""",
9359500,"ANIMAS RIVER AT TALL TIMBER, CO",7682,338,sanjuan,"37d35'51""","107d46'37""",
9361500,"ANIMAS RIVER AT DURANGO, CO",6502,701,sanjuan,"37d16'45""","107d52'47""",DRGC2
9362520,ANIMAS RIVER BLW DURANGO PUMP PLANT,6437,775,sanjuan,"37d14'57""","107d52'21""",DGOC2
9363500,"ANIMAS RIVER NEAR CEDAR HILL, NM",5960,1090,sanjuan,"37d02'12""","107d52'31""",CDRC2
9364500,"ANIMAS RIVER AT FARMINGTON, NM",5280,1360,sanjuan,"36d43'21""","108d12'06""",ARFN5
9352800,LOS PINOS R ABV VALLECITO RES,7740,130,sanjuan,"37d24'53""","107d30'46""",VCRC2
9352900,VALLECITO CREEK ABV VALLECITO RES,7906,72.5,sanjuan,"37d28'39""","107d32'35""",
9165000,"DOLORES RIVER BELOW RICO, CO",8422,106,dol,"37d38'20""","108d03'35""",DRRC2
9166500,"DOLORES RIVER AT DOLORES, CO",6940,504,dol,"37d28'21""","108d29'49""",DOLC2
9166950,"LOST CANYON CREEK NEAR DOLORES, CO",7030,71.2,dol,"37d26'46""","108d28'07""",LCCC2
9362750,"FLORIDA RIVER ABOVE LEMON RESERVOIR NR DURANGO, CO",8160,52.4,sanjuan,"37d25'36""","107d40'28""",LEMC2
