site_no,name,elev_ft,state,lat,long,triplet,acronym
327,BEARTOWN,11600,CO,37.71,-107.51,327_CO_SNTL,BRT
1185,BLACK MESA,11580,CO,37.79,-108.18,1185_CO_SNTL,
386,CASCADE,8880,CO,37.65,-107.81,386_CO_SNTL,CSC
394,CHAMITA,8400,NM,36.96,-106.66,394_NM_SNTL,
431,CUMBRES TRESTLE,10040,CO,37.02,-106.45,431_CO_SNTL,
465,EL DIENTE PEAK,10000,CO,37.79,-108.02,465_CO_SNTL,EDS
538,IDARADO,9800,CO,37.93,-107.68,538_CO_SNTL,IDR
580,LILY POND,11000,CO,37.38,-106.55,580_CO_SNTL,
586,LIZARD HEAD PASS,10200,CO,37.8,-107.92,586_CO_SNTL,LIZ
589,LONE CONE,9600,CO,37.89,-108.2,589_CO_SNTL,LNC
624,MIDDLE CREEK,11250,CO,37.62,-107.03,624_CO_SNTL,
629,MINERAL CREEK,10040,CO,37.85,-107.73,629_CO_SNTL,MIN
632,MOLAS LAKE,10500,CO,37.75,-107.69,632_CO_SNTL,MLS
713,RED MOUNTAIN PASS,11200,CO,37.89,-107.71,713_CO_SNTL,RMP
739,SCOTCH CREEK,9100,CO,37.65,-108.01,739_CO_SNTL,
1060,SHARKSTOOTH,10720,CO,37.5,-108.11,1060_CO_SNTL,SHS
762,SLUMGULLION,11560,CO,37.99,-107.2,762_CO_SNTL,
780,SPUD MOUNTAIN,10660,CO,37.7,-107.78,780_CO_SNTL,SPS
797,STUMP LAKES,11200,CO,37.48,-107.63,797_CO_SNTL,STP
839,UPPER RIO GRANDE,9400,CO,37.72,-107.26,839_CO_SNTL,
840,UPPER SAN JUAN,10200,CO,37.49,-106.84,840_CO_SNTL,
843,VALLECITO,10880,CO,37.49,-107.51,843_CO_SNTL,VAL
874,WOLF CREEK SUMMIT,11000,CO,37.48,-106.8,874_CO_SNTL,
